,0
0,Eule
1, Mikroskop
2, Schokolade
3, Telefon
4, Schreibtisch
5, Flasche
6, Stift
7, Kaktus
8, Hühnchen
9, Taschentuch
10, Fahrrad
11, Ziegelstein
12, Nadel
13, Vogel
14, Kissen
15, Käse
16, Fingernagel
17, Schal
18, Stativ
19, Luftballon
20, Regenschirm
21, Koffer
22, Gitarre
23, Buch
24, Tasse
25, Handschuh
26, Feuerzeug
27, Schlüssel
28, Schildkröte
29, Waffeleisen
30, Schraubenzieher
31, Kamera
32, Uhren
33, Sanduhr
34, Teleskop
35, Juwel
36, Kompass
37, Schmuck
38, Muschel
39, Fächer
40, Kerze
41, Granate
42, Flaschenöffner
43, Greifzange
44, Armreif
45, Bleistift
46, Medaille
47, Arkade
48, Anhänger
49, Gully
50, Buchstabe
51, Kabel
52, Schallplatte
53, Taktstock
54, Computer
55, Laubsäge
56, Meerjungfrau
57, Knopf
58, Weinflasche
59, Kabeljau
60, Nudelholz
61, Pfeil
62, Trompete
63, Pinguin
64, Hammer
65, Lampe
66, Kastanie
67, Perle
68, Radio
69, Mauspad
70, Blatt
71, Knochen
72, Harfe
73, Schnecke
74, Blauer Fratz
75, Gabel
76, Waschmaschine
77, Hufeisen
78, Kreuz
79, Korkenzieher
80, Säge
81, Kürbis
82, Kuchen
83, Krone
84, Bumerang
85, Notenblatt
86, Schuh
87, Stil
88, Kommode
89, Piranha
90, Zange
91, Tasche
92, Styropor
93, Kugelschreiber
94, Bild
95, Kunst
96, Fernglas
97, Haarspange
98, Kopfkissen
99, Teller
100, Uhr
101, Magnet
102, Frosch
103, Zopf
104, Eiskratzer
105, Joystick
106, Schalter
107, Schleife
108, Haken
109, Fliegenklatsche
110, Taschenmesser
111, Gürtel
112, Schreibmaschine
113, Krawatte
114, Kassette
115, Schirm
116, Wecker
117, Deckel
118, Seife
119, Handtuch
120, Kupplung
121, Schaufel
122, Schale
123, Kran
124, Elefant
125, Satteltasche
126, Diamant
127, Schaltknüppel
128, Horn
129, Schneebesen
130, Kaninchen
131, Schlitten
132, Drossel
133, Rollstuhl
134, Mülltonne
135, Armatur
136, Fackel
137, Aschenbecher
138, Teakettle
139, Messer
140, Reißverschluss
141, Uhrwerk
142, Schleim
143, Huhn
144, Schnee
145, Trommel
146, Segelboot
147, Vogelhäuschen
148, Pailletten
149, Schallmauer
150, Kaffeetasse
151, Harpune
152, Fotos
153, Schnalle
154, Heft
155, Geige
156, Noten
157, Rasiermesser
158, Schürze
159, Nähnadel
160, Kabelbinder
161, Handtasche
162, Glasscherbe
163, Papagei
164, Spielzeug
165, Limonade
166, Sprengstoff
167, Klavier
168, Schubkarre
169, Sprungbrett
170, Taschenuhr
171, Schiff
172, Rechen
173, Backform
174, Halsband
175, Schrei
176, Eiscreme
177, Nähmaschine
178, Türschloss
179, Reisetasche
180, Knoblauch
181, Schneeflocke
182, Kühlschrank
183, Wassertropfen
184, Gesangbuch
185, Schneemann
186, Flöte
187, Lupe
188, Soldat
189, Tropfen
190, Gießkanne
191, Schlagzeug
192, Pfeife
193, Schere
194, Augenbinde
195, Peitsche
196, Parkuhr
197, Gartenschere
198, Sattel
199, Quast
200, Kiste
201, Bügeleisen
202, Rucksack
203, Fernbedienung
204, Stuhl
205, Glas
206, Skalpell
