,0
0,onomástico
1, sustento
2, angústia
3, canário
4, robalinho
5, mosquetão
6, carnaval
7, castelo
8, ocasião
9, barulho
10, identidade
11, colcha
12, desastre
13, desventura
14, estalactite
15, cabelo
16, web
17, barco
18, absinto
19, bacia
20, coyote
21, cume
22, algodão
23, borracha
24, cinema
25, espectador
26, barganha
27, ira
28, abelha
29, gelo
30, trem
31, cobra
32, junção
33, leque
34, salto
35, fantasia
36, benção
37, provação
38, arco-íris
39, laço
40, abertura
41, berço
42, pique
43, entalhe
44, sabonete
45, canoa
46, moleta
47, torrão
48, cacto
49, comunhão
50, vizinhança
51, grão
52, caranguejo
53, macarrão
54, patim
55, lava
56, carniça
57, palmeira
58, comichão
59, frigideira
60, imagem
61, solavanco
62, jagunço
63, catapulta
64, moinho
65, dime
66, flâmula
67, cilindro
68, pássaro
69, diapasão
70, quintal
71, hospício
72, ameaça
73, cérebro
74, óleo
75, bolso
76, floresta
77, licor
78, gêmeo
79, assombro
80, facão
81, camarote
82, cocada
83, portão
84, madeiro
85, minhoca
86, queijo
87, cachorro-quente
88, farol
89, crescimento
90, morro
91, ampliação
92, brinco
93, raio
94, quiosque
95, bala
96, vaticínio
97, poltrona
98, sapo
99, fantasma
100, castiçal
101, cumeada
102, abóboras
103, iguana
104, melancia
105, sobremesa
106, salvação
107, avestruz
108, distância
109, passeio
110, mastro
111, bucólico
112, floco
113, beijo
114, escorpião
115, macaco
116, bomba
117, alerta
118, joaninha
119, escada
120, abcesso
121, riqueza
122, guarda-chuva
123, tabela
124, colheitadeira
125, combinação
126, caixa
127, chalaça
128, panturrilha
129, giz
130, farelo
131, vitriol
132, obstáculo
133, reconhecimento
134, pilha
135, ferro
136, bandeira
137, bússola
138, vacina
139, geladeira
140, fruto
141, tigela
142, pia
143, teste
144, bandoleiro
145, plano
146, cipoal
147, equação
148, beleza
149, afeto
150, aconchego
151, tortilha
152, deserto
153, espelho
154, carapuço
155, vereda
156, garganta
157, pinheiro
158, elevação
159, traficante
160, lanterna
161, vulcão
162, gravidade
163, doçura
164, helicóptero
165, abadia
166, rasura
167, corredor
168, galho
169, corrente
170, ronco
171, cambalhota
172, bardo
173, anil
174, apoio
175, confusão
176, enigma
177, maciço
178, acústica
179, fascínio
180, monstro
181, arrepio
182, açúcar
183, montanha
184, bagunça
185, amizade
186, biblioteca
187, câncer
188, design
189, manejo
190, tábua
191, especiaria
192, tesoura
193, cachimbo
194, altura
195, piquenique
196, causo
197, resposta
198, farinha
199, lágrima
200, aprendiz
201, lascívia
202, raça
203, solicitação
204, sabor
205, alambique
206, sequência
207, nuvem
208, cegonha
209, zepelim
210, céu
211, enxada
212, orquestra
213, telefone
214, etapa
215, antena
216, feijão
217, anjo
218, torta
219, veículo
220, água
221, arranjo
222, tensionamento
223, pavio
224, topografia
225, relaxamento
226, grafite
227, espinhaço
228, alimentação
229, bichano
230, parafuso
231, abandono
232, pesadelo
233, aliança
234, adulação
235, lâmpada
236, religião
237, bagagem
238, palavra
239, espuma
240, delicadeza
241, decoração
242, espírito
243, raposa
244, luz
245, perfume
246, cama
247, tamborim
248, confeitaria
249, monarca
250, ilha
251, trepidação
252, batom
253, espada
254, limpeza
255, vaidade
256, bandido
257, boneco
258, vento
259, vinho
260, igreja
261, trenó
262, banho
263, desenvolvimento
264, sorriso
265, cozinha
266, esquilo
267, hidroplano
268, sintonia
269, trombeta
270, barracão
271, avião
272, amargura
273, disfarce
274, paladar
275, flanela
276, botão
277, açougue
278, castor
279, bola
280, ideia
281, canela
282, hipopótamo
283, trança
284, impasse
285, vaticinação
286, bebedouro
287, magia
288, doce
289, delegacia
290, adeus
291, medicamento
292, tradução
293, luzinhas
294, abóbada
295, acarajé
296, tubarão
297, leitura
298, cabrito
299, chifre
300, anzol
301, alma
302, peneira
303, purgatório
304, faculdade
305, galocha
306, laranja
307, vala
308, campo
309, faísca
310, garrafa
311, amendoim
312, firmeza
313, aurora
314, ciclo
315, lição
316, sapato
317, mictório
318, manifestação
319, descoberta
320, pirata
321, estrada
322, serpentina
323, avenca
324, galeão
325, calúnia
326, carneiro
327, lampejo
328, escova
329, jogos
330, desfiladeiro
331, cangaço
332, areia
333, lápis
334, estribo
335, cartolina
336, realejo
337, grito
338, astrônomo
339, vaso
340, chão
341, beiju
342, missão
343, esponja
344, cana
345, sítio
346, silêncio
347, ostra
348, dispositivo
349, inverno
350, baiacu
351, pirâmide
352, regulação
353, entrecosto
354, escrivaninha
355, terraço
356, relógio
357, churrasco
358, coleção
359, zombaria
360, claro
361, teia
362, lã
363, instrumento
364, apito
365, nariz
366, bullying
367, chuva
368, prosperidade
369, fundação
370, dragão
371, espinafre
372, inseparável
373, suor
374, pé
375, colina
376, copa
377, escondidinho
378, horário
379, antecedente
380, corpo
381, tráz
382, mutirão
383, asilo
384, painel
385, pó
386, pontapé
387, oásis
388, botânica
389, barata
390, confecção
391, clonagem
392, despedida
393, azul
394, ancoradouro
395, acorda
396, bigode
397, pedra
398, corrida
399, trilha
400, bibliotecário
401, coração
402, bombom
403, círculo
404, fole
405, teodolito
406, comida
407, estudante
408, sapatilha
409, vizinho
410, gravador
411, apneia
412, canudo
413, tigre
414, estrela
415, pestana
416, equipamento
417, esfera
418, manequim
419, fauno
420, acumulação
421, estrutura
422, cachoeira
423, fiel
424, pensamento
425, alhos
426, omelete
427, biscoito
428, anel
429, exaustão
430, rubi
431, dirigível
432, abismo
433, espremedor
434, aldeia
435, vício
436, suéter
437, início
438, fornecedor
439, patente
440, março
441, vergonha
442, gigante
443, lenço
444, selva
445, pina
446, manutenção
447, ciclone
448, lendário
449, imperador
450, rocha
451, atração
452, prancha
453, osso
454, muringue
455, habilidade
456, maternidade
457, dimensão
458, mistério
459, capacete
460, móbil
461, biquíni
462, camaleão
463, golfinho
464, motocicleta
465, raridade
466, relato
467, terreno
468, conectividade
469, pastel
470, mola
471, idade
472, bolero
473, fixação
474, banqueta
475, costurar
476, tecnologia
477, lâmina
478, maravilha
479, tribunal
480, caminhão
481, gula
482, mensageiro
483, brado
484, mandioca
485, fígado
486, buraco
487, gavião
488, prato
489, reciprocidade
490, pombo
491, violino
492, pirulito
493, enfermidade
494, biombo
495, trapézio
496, autoria
497, efervescência
498, azeitona
499, oficina
500, tesouro
501, agrião
502, campainha
503, impostor
504, pluralidade
505, orégano.
506,abordar
507, abolir
508, abrazar
509, aburrir
510, acampar
511, acariciar
512, aceptar
513, acoger
514, aconsejar
515, acoplar
516, acudir
517, adiestrar
518, admirar
519, adquirir
520, advertir
521, aferrar
522, afligir
523, agarrar
524, agitar
525, agotar
526, agraciar
527, agrandar
528, agrupar
529, ahogar
530, ahorcar
531, aislarse
532, ajardinar
533, alarmar
534, alegrar
535, alimentar
536, aliviar
537, alumbrar
538, amansar
539, amar
540, amonestar
541, amortiguar
542, ampliar
543, anhelar
544, anotar
545, apostar
546, apoyar
547, aproximar
548, arar
549, arder
550, armar
551, arrendar
552, arrinconar
553, arruinar
554, asaltar
555, asegurar
556, asesorar
557, asistir
558, atacar
559, atar
560, atender
561, atracar
562, atraer
563, atropellar
564, autorizar
565, auxiliar
566, bajar
567, bañarse
568, barrer
569, besar
570, bloquear
571, bombear
572, bordar
573, borrar
574, botar
575, brindar
576, brillar
577, buscar
578, cabalgar
579, cachear
580, callar
581, calmar
582, caminar
583, cancelar
584, cantar
585, capturar
586, carecer
587, cargar
588, castigar
589, castrar
590, causar
591, celebrar
592, ceder
593, ceñir
594, censurar
595, centrar
596, cepillar
597, chapotear
598, chiflar
599, chillar
600, chismear
601, chocar
602, ciñar
603, circular
604, clasificar
605, coger
606, colegir
607, colgar
608, colaborar
609, colocar
610, comandar
611, comenzar
612, comprender
613, comprometerse
614, compromiso
615, comunicar
616, condenar
617, conducir
618, confesar
619, confiar
620, conformarse
621, congelar
622, conocer
623, conquistar
624, consentir
625, conservar
626, considerar
627, consultar
628, consumir
629, contener
630, contentar
631, contraer
632, controlar
633, convertir
634, cooperar
635, copiar
636, correr
637, cortar
638, cubrir
639, cultivar
640, curar
641, dañar
642, danzar
643, dar
644, debatir
645, debilitar
646, deber
647, decapitar
648, declarar
649, decorar
650, deducir
651, defender
652, definir
653, delegar
654, dejar
655, deleitar
656, demostrar
657, depender
658, depilar
659, depositar
660, desafiar
661, desagüe
662, desanimar
663, desaparecer
664, desaprobación
665, desaprovechar
666, desatar
667, descendrer
668, desconfiar
669, descongelar
670, desear
671, desempeñar
672, desesperarse
673, desgarrar
674, deshacer
675, deshonestidad
676, deshonrar
677, desintegrar
678, desistir
679, desmayar
680, desordenar
681, desplazar
682, despreciar
683, destruir
684, detallar
685, detener
686, determinar
687, devaluar
688, devolver
689, dibujar
690, dificultar
691, difundir
692, diluir
693, dirigir
694, disgustar
695, disimular
696, disminuir
697, disponer
698, distinguir
699, distraer
700, distribuir
701, dividir
702, dormir
703, doblar
704, dominar
705, ducharse
706, durar
707, echar
708, educar
709, efectuar
710, elegir
711, elogiar
712, emancipar
713, emborracharse
714, embotellar
715, empujar
716, encantar
717, encarcelar
718, encender
719, encerrar
720, encogerse
721, encontrarse
722, enamorarse
723, enjuagar
724, entender
725, ensayar
726, enviar
727, envolver
728, equivocarse
729, erguirse
730, errar
731, estar
732, estimar
733, estudiar
734, evacuar
735, exagerar
736, examinar
737, excluir
738, exigir
739, existir
740, explicar
741, explotar
742, extender
743, extinguir
744, extrañar
745, fabricar
746, fallecer
747, fascinar
748, fastidiar
749, fatigar
750, favorecer
751, federar
752, sentir
753, festejar
754, filmar
755, flotar
756, fluir
757, fomentar
758, forjar
759, formar
760, fortalecer
761, fracturar
762, freír
763, frotar
764, frustrar
765, fulminar
766, funcionar
767, fusionar
768, ganar
769, gastar
770, generalizar
771, generar
772, glorificar
773, gobernar
774, gozar
775, grabar
776, graduarse
777, gratificar
778, gritar
779, guardar
780, guiar
781, gustar
782, habitar
783, hallar
784, handar
785, heredar
786, herir
787, hidratar
788, higienizar
789, hincar
790, hundir
791, iluminar
792, imitar
793, impartir
794, impeler
795, impedir
796, implantar
797, importar
798, imponer
799, impulsar
800, inaugurar
801, incendiar
802, incluir
803, inculcar
804, incurrir
805, indicar
806, inducir
807, indulgencia
808, infestar
809, inflar
810, informar
